path,bytes,gib,mtime_utc,category,git_visibility
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert9Edge1_Vc50.0_fz0.05_ap1.5_VB0.0_Rep1.mat,507406192,0.472559,2024-10-23T07:04:52.828784+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,469130968,0.436912,2024-10-23T07:02:46.935377+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert1Edge1_Vc50.0_fz0.1_ap1.5_VB0.137_Rep2.mat,387517824,0.360904,2024-10-23T07:03:06.178454+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert4Edge1_Vc100.0_fz0.2_ap1.5_VB0.202_Rep2.mat,385135144,0.358685,2024-10-23T07:03:53.080018+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep1.mat,381528592,0.355326,2024-10-23T07:03:42.473976+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2.mat,380710016,0.354564,2024-10-23T07:02:54.178343+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep2.mat,379619904,0.353549,2024-10-23T07:03:44.892546+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep1.mat,379552256,0.353486,2024-10-23T07:04:59.044789+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep1.mat,379457952,0.353398,2024-10-23T07:03:16.206748+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert6Edge1_Vc50.0_fz0.1_ap1.5_VB0.287_Rep2.mat,379229936,0.353185,2024-10-23T07:04:48.997327+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep2.mat,378672960,0.352667,2024-10-23T07:05:02.005339+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1.mat,378463216,0.352471,2024-10-23T07:02:52.903746+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep2.mat,377922064,0.351967,2024-10-23T07:03:18.019957+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert9Edge2_Vc100.0_fz0.05_ap1.5_VB0.0_Rep2.mat,377521824,0.351595,2024-10-23T07:05:04.721505+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep1.mat,377351600,0.351436,2024-10-23T07:04:02.616121+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep2.mat,372976672,0.347362,2024-10-23T07:04:05.468959+00:00,extracted_raw,ignored
data/ims/raw/1st_test.rar,366567310,0.341392,2007-09-18T07:44:22+00:00,raw_archive,ignored
proc/pu_loco_N15_M01_F10_train.npz,332488832,0.309654,2026-07-07T01:48:49.506888+00:00,processed_array,ignored
proc/pu_loco_N15_M07_F10_train.npz,331442887,0.308680,2026-07-07T01:49:12.864965+00:00,processed_array,ignored
proc/pu_loco_N15_M07_F04_train.npz,331285233,0.308533,2026-07-07T01:49:01.448388+00:00,processed_array,ignored
proc/pu_loco_N09_M07_F10_train.npz,331224931,0.308477,2026-07-07T01:48:38.628577+00:00,processed_array,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert3Edge1_Vc100.0_fz0.1_ap1.5_VB0.213_Rep2.mat,268337664,0.249909,2024-10-23T09:35:14.323414+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert9Edge2_Vc100.0_fz0.1_ap1.5_VB0.039_Rep2.mat,268335616,0.249907,2024-10-23T09:37:13.169667+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.291_Rep1.mat,268335360,0.249907,2024-10-23T09:36:11.832543+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep1.mat,268328960,0.249901,2024-10-23T09:34:12.021811+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,268327160,0.249899,2024-10-23T09:33:54.583514+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep1.mat,268326392,0.249898,2024-10-23T09:36:07.574366+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert2Edge1_Vc100.0_fz0.1_ap1.5_VB0.12_Rep1.mat,268308344,0.249882,2024-10-23T09:34:26.692824+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_unsynced/Insert4Edge1_Vc100.0_fz0.1_ap1.5_VB0.201_Rep1.mat,268302840,0.249876,2024-10-23T09:35:35.952866+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep1.mat,250982336,0.233746,2024-10-23T07:02:54.967872+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/small_subset/signals_synced/Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep1.mat,250982336,0.233746,2024-10-23T07:02:54.967872+00:00,extracted_raw,ignored
data/MU-TCM face-milling dataset/full_dataset/signals_synced/Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep1.mat,250800424,0.233576,2024-10-23T07:04:07.232832+00:00,extracted_raw,ignored
