root,bytes,file_count,npz_count,npy_count,json_count,csv_count,tracked_reference_mentions,category,exact_duplicate_candidate_bytes,deletion_state
milling_inner_attack_2026-07-08_rule_exemplar_smoke,44762469,37,1,18,17,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
milling_inner_attack_2026-07-08_v4_contrastive,44574312,58,1,45,11,1,0,DEVELOPMENT_UNCLASSIFIED,42158336,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_inner_attack_2026-07-08_v5_prototype_contrastive,44529064,56,1,43,11,1,0,DEVELOPMENT_SMOKE_OR_PILOT,42158336,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_generation_2026-07-08_llm_smoke_v2_compact,44140732,26,1,16,8,1,0,DEVELOPMENT_SMOKE_OR_PILOT,41989197,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_inner_attack_2026-07-08_rule_rms_smoke,43707869,22,1,9,11,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
milling_generation_2026-07-08_llm_smoke_v1,42090148,13,1,0,11,1,0,DEVELOPMENT_SMOKE_OR_PILOT,629,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pool_breeze_k3.npz,38031938,1,1,0,0,0,4,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
milling_generation_2026-07-08_smoke_v4,34930702,64,2,44,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,17282796,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_berkeley_v2_binary_formal_2026-07-08_v11_repair_eq_coherent,33514723,125,1,100,22,2,82,PRIMARY_RELEASE_REQUIRED,0,PRESERVE
milling_berkeley_v2_binary_2026-07-08_v11_repair_eq_coherent,33513114,125,1,100,22,2,0,DEVELOPMENT_UNCLASSIFIED,28715774,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
breeze_ref_pool_v8.npz,31468010,1,1,0,0,0,2,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
phaseA_v2_balanced,31341937,6,3,0,0,3,2935,TRACKED_FROZEN_COPY,31341937,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v3_internal_candidates_2026-07-08_full_v1,27418505,639,7,501,117,14,1,REFERENCED_LEGACY_EVIDENCE,199041,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
rescreen_v2_full,22616185,454,1,0,451,2,933,PRIMARY_RELEASE_REQUIRED,0,PRESERVE
gan_fullcorpus_pool.npz,22126090,1,1,0,0,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
vae_fullcorpus_pool.npz,22126090,1,1,0,0,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_llm_full_v1_combined,21134572,3,1,0,1,1,165,PRIMARY_RELEASE_REQUIRED,0,PRESERVE
pu_loco_v2_condition_aware_2026-07-08,19066033,435,4,329,94,8,3,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
pu_loco_nonllm_smoke_2026-07-07,19038634,547,2,443,98,4,0,DEVELOPMENT_SMOKE_OR_PILOT,18981882,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_llm_smoke_2026-07-07_v3,17948852,407,4,287,103,8,53,DEVELOPMENT_SMOKE_OR_PILOT,679569,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pool_basic_k0,15708496,1199,0,599,600,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
recipe_ablation_random_v2_full,12498010,904,1,450,451,2,459,REFERENCED_LEGACY_EVIDENCE,12484,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_pools_smoke_2026-07-07,11003865,439,3,283,147,6,0,DEVELOPMENT_SMOKE_OR_PILOT,8755422,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pool_basic_file_k0,10967580,866,0,416,450,0,5,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
milling_inner_attack_2026-07-08_v10_combined_v6_v8_v9,10524276,3,1,0,1,1,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
mt_private_v3_conditional_2026-07-13,10279578,594,0,264,323,6,0,DEVELOPMENT_UNCLASSIFIED,1429293,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_umich_v2_inner_2026-07-08_rule_random,8434127,457,2,369,84,2,0,DEVELOPMENT_UNCLASSIFIED,5816456,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
rescreen_v2_s50,7909851,154,1,0,151,2,2,REFERENCED_LEGACY_EVIDENCE,1672850,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v4_s2_morphology_2026-07-13_smoke,7503705,212,8,124,64,16,1,DEVELOPMENT_SMOKE_OR_PILOT,302085,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_umich_v3_puremeta_inner_2026-07-09_rule_random,5804648,408,2,320,84,2,0,DEVELOPMENT_UNCLASSIFIED,3294979,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_rule_pilot_v1,5798326,393,1,309,81,2,165,PRIMARY_RELEASE_REQUIRED,0,PRESERVE
milling_inner_attack_2026-07-08_v12_prototype_admitted,5318390,3,1,0,1,1,1,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
milling_umich_v2_inner_2026-07-08_llm_smoke,4259534,184,1,150,32,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
milling_umich_v2_inner_2026-07-08_llm_smoke_surrogate_rerender,4244757,176,1,142,32,1,0,DEVELOPMENT_SMOKE_OR_PILOT,2904068,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_umich_v2_inner_2026-07-08_llm_smoke_v2,4240028,177,1,143,32,1,0,DEVELOPMENT_SMOKE_OR_PILOT,2904068,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_umich_v2_prompt_patch_smoke,2952394,8,1,2,4,1,0,DEVELOPMENT_SMOKE_OR_PILOT,2907396,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_umich_v3_puremeta_inner_2026-07-09_llm_smoke,2767685,106,1,72,32,1,0,DEVELOPMENT_SMOKE_OR_PILOT,232,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v4_s2_morphology_2026-07-13_smoke_stratified,2765658,81,2,41,34,4,2,DEVELOPMENT_SMOKE_OR_PILOT,656997,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_generation_2026-07-08_smoke_v3,2730355,50,2,30,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,630666,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_inner_attack_2026-07-08_v3_combined_llm,2685191,1,1,0,0,0,0,DEVELOPMENT_UNCLASSIFIED,0,REVIEW_NOT_AUTOMATIC
milling_umich_v3_puremeta_inner_2026-07-09_llm_smoke_realbg_rescue,2611551,116,1,89,25,1,0,DEVELOPMENT_SMOKE_OR_PILOT,1644097,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
mt_private_v2_llm_smoke_2026-07-10,2293016,119,2,26,91,0,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_rule_smoke_v5,2278572,157,1,121,33,2,3,DEVELOPMENT_SMOKE_OR_PILOT,1070498,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_generation_2026-07-08_smoke_v2,2103934,50,2,30,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,315558,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_rule_smoke_v4,2072024,144,1,108,33,2,0,DEVELOPMENT_SMOKE_OR_PILOT,1724976,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_rule_smoke_v3,1842293,144,1,108,33,2,0,DEVELOPMENT_SMOKE_OR_PILOT,898560,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pilot_mimo_k2b,1827209,88,0,73,15,0,1,DEVELOPMENT_SMOKE_OR_PILOT,296448,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pool_raw_k2,1533513,95,0,59,36,0,3,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
rescreen_v2_s10,1494819,34,1,0,31,2,2,REFERENCED_LEGACY_EVIDENCE,331722,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_llm_smoke_combined_v5_pilot,1417431,3,1,0,1,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
milling_umich_2026-07-08_rule_random,1386951,44,1,0,42,1,0,DEVELOPMENT_UNCLASSIFIED,24,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
phaseB_cwru_within_load0_llm_smoke_api_v1,1295650,96,1,71,21,2,1,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_llm_smoke_api_v4_fault_quality,1283959,91,1,71,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_llm_smoke_api_v5_fault_quality_pilot,1269511,90,1,70,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
pilot_mimo_k2,1238129,61,0,49,12,0,1,DEVELOPMENT_SMOKE_OR_PILOT,172928,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v2_condition_aware_2026-07-08_smoke_v2,1168646,33,1,17,13,2,0,DEVELOPMENT_SMOKE_OR_PILOT,662001,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
milling_generation_2026-07-07_smoke,1153064,50,2,30,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,155845,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
mt_private_v1_preflight_2026-07-10,1037250,2,0,0,1,1,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
cross_condition_verifier,972168,13,0,0,8,4,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_llm_smoke_combined_v4,874341,3,1,0,1,1,1,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_llm_smoke_combined_v3,871072,3,1,0,1,1,7,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
mt_verifier_real_details.csv,823055,1,0,0,0,1,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
