baseline,model,n_real,seed,epochs,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,simple_cnn,50,7,20,file_id_1,1,150,421,0.39667458432304037,0.2933151980533269,0.32684824902723736,0.0,0.5530973451327433,"[[42,52,97],[0,0,63],[24,18,125]]"
real_only,simple_cnn,50,8,20,file_id_1,1,150,421,0.44655581947743467,0.34650047938638545,0.4966442953020134,0.0,0.5428571428571428,"[[74,41,76],[0,0,63],[33,20,114]]"
real_only,simple_cnn,50,9,20,file_id_1,1,150,421,0.4251781472684085,0.32616487455197135,0.4229390681003584,0.0,0.5555555555555556,"[[59,50,82],[0,0,63],[29,18,120]]"
real_only,simple_cnn,full,0,20,file_id_2,2,1292,445,0.9415730337078652,0.9101700921332389,0.9216867469879518,0.8088235294117647,1.0,"[[153,22,0],[4,55,0],[0,0,211]]"
real_only,simple_cnn,10,0,20,file_id_2,2,30,445,0.42921348314606744,0.35021254329737334,0.11650485436893204,0.29955947136563876,0.6345733041575492,"[[12,72,91],[15,34,10],[4,62,145]]"
real_only,simple_cnn,10,1,20,file_id_2,2,30,445,0.23370786516853934,0.17706852262012404,0.03333333333333333,0.07829181494661921,0.4195804195804196,"[[3,90,82],[2,11,46],[0,121,90]]"
real_only,simple_cnn,10,2,20,file_id_2,2,30,445,0.49213483146067416,0.3181889149102264,0.0,0.2857142857142857,0.6688524590163935,"[[0,24,151],[0,15,44],[0,7,204]]"
real_only,simple_cnn,10,3,20,file_id_2,2,30,445,0.39101123595505616,0.3216353330214291,0.2551440329218107,0.09259259259259259,0.617169373549884,"[[31,73,71],[33,10,16],[4,74,133]]"
real_only,simple_cnn,10,4,20,file_id_2,2,30,445,0.4584269662921348,0.34843914232467377,0.1645021645021645,0.1839080459770115,0.6969072164948453,"[[19,59,97],[35,16,8],[2,40,169]]"
real_only,simple_cnn,10,5,20,file_id_2,2,30,445,0.42696629213483145,0.31986531986531985,0.0,0.34545454545454546,0.6141414141414141,"[[0,64,111],[0,38,21],[0,59,152]]"
real_only,simple_cnn,10,6,20,file_id_2,2,30,445,0.15280898876404495,0.11469188893678921,0.011363636363636364,0.23554603854389722,0.09716599190283401,"[[1,154,20],[0,55,4],[0,199,12]]"
real_only,simple_cnn,10,7,20,file_id_2,2,30,445,0.21348314606741572,0.1898470496839729,0.09574468085106383,0.2700228832951945,0.2037735849056604,"[[9,139,27],[0,59,0],[4,180,27]]"
real_only,simple_cnn,10,8,20,file_id_2,2,30,445,0.28314606741573034,0.24015978948369607,0.0,0.2914572864321608,0.42902208201892744,"[[0,138,37],[0,58,1],[0,143,68]]"
real_only,simple_cnn,10,9,20,file_id_2,2,30,445,0.3550561797752809,0.2620734338411345,0.125,0.11650485436893204,0.5447154471544715,"[[12,61,102],[2,12,45],[3,74,134]]"
real_only,simple_cnn,25,0,20,file_id_2,2,75,445,0.4202247191011236,0.40075795527738567,0.2909090909090909,0.34394904458598724,0.5674157303370787,"[[32,101,42],[3,54,2],[10,100,101]]"
real_only,simple_cnn,25,1,20,file_id_2,2,75,445,0.5707865168539326,0.46068809822098694,0.36823104693140796,0.2542372881355932,0.7595959595959596,"[[51,31,93],[41,15,3],[10,13,188]]"
real_only,simple_cnn,25,2,20,file_id_2,2,75,445,0.5123595505617977,0.4092157770869714,0.055248618784530384,0.4435483870967742,0.7288503253796096,"[[5,91,79],[1,55,3],[0,43,168]]"
real_only,simple_cnn,25,3,20,file_id_2,2,75,445,0.45393258426966293,0.37909759532285053,0.4958217270194986,0.049079754601226995,0.592391304347826,"[[89,41,45],[52,4,3],[43,59,109]]"
real_only,simple_cnn,25,4,20,file_id_2,2,75,445,0.2853932584269663,0.2764707622785729,0.33774834437086093,0.11278195488721804,0.37888198757763975,"[[51,83,41],[35,15,9],[41,109,61]]"
real_only,simple_cnn,25,5,20,file_id_2,2,75,445,0.3752808988764045,0.36375348556396386,0.31275720164609055,0.25249169435215946,0.5260115606936416,"[[38,97,40],[17,38,4],[13,107,91]]"
real_only,simple_cnn,25,6,20,file_id_2,2,75,445,0.45393258426966293,0.35955919762063154,0.21782178217821782,0.2131979695431472,0.6476578411405295,"[[22,67,86],[3,21,35],[2,50,159]]"
