baseline,model,n_real,seed,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
signal_feature_only,extra_trees,25,5,file_id_4,4,75,301,0.9235880398671097,0.9060946297454809,0.9083665338645418,0.8099173553719008,1.0,"[[114,1,0],[22,49,0],[0,0,115]]"
signal_feature_only,extra_trees,25,6,file_id_4,4,75,301,0.8770764119601329,0.8640793956450897,0.827906976744186,0.7643312101910829,1.0,"[[89,26,0],[11,60,0],[0,0,115]]"
signal_feature_only,extra_trees,25,7,file_id_4,4,75,301,0.9302325581395349,0.9163104611923508,0.9142857142857143,0.8346456692913385,1.0,"[[112,3,0],[18,53,0],[0,0,115]]"
signal_feature_only,extra_trees,25,8,file_id_4,4,75,301,0.920265780730897,0.9032258064516129,0.9032258064516129,0.8064516129032258,1.0,"[[112,3,0],[21,50,0],[0,0,115]]"
signal_feature_only,extra_trees,25,9,file_id_4,4,75,301,0.9003322259136213,0.8799845141308555,0.8780487804878049,0.7619047619047619,1.0,"[[108,7,0],[23,48,0],[0,0,115]]"
signal_feature_only,extra_trees,50,0,file_id_4,4,150,301,0.9302325581395349,0.9169298497463872,0.9135802469135802,0.8372093023255814,1.0,"[[111,4,0],[17,54,0],[0,0,115]]"
signal_feature_only,extra_trees,50,1,file_id_4,4,150,301,0.9302325581395349,0.9212698412698413,0.9066666666666666,0.8571428571428571,1.0,"[[102,13,0],[8,63,0],[0,0,115]]"
signal_feature_only,extra_trees,50,2,file_id_4,4,150,301,0.8504983388704319,0.8017880854489304,0.8314606741573034,0.5825242718446602,0.9913793103448276,"[[111,2,2],[41,30,0],[0,0,115]]"
signal_feature_only,extra_trees,50,3,file_id_4,4,150,301,0.8870431893687708,0.8728281853281853,0.8482142857142857,0.7702702702702703,1.0,"[[95,20,0],[14,57,0],[0,0,115]]"
signal_feature_only,extra_trees,50,4,file_id_4,4,150,301,0.9302325581395349,0.9175192423426562,0.9128630705394191,0.8396946564885496,1.0,"[[110,5,0],[16,55,0],[0,0,115]]"
signal_feature_only,extra_trees,50,5,file_id_4,4,150,301,0.946843853820598,0.9373737373737373,0.9333333333333333,0.8787878787878788,1.0,"[[112,3,0],[13,58,0],[0,0,115]]"
signal_feature_only,extra_trees,50,6,file_id_4,4,150,301,0.9302325581395349,0.9163104611923508,0.9142857142857143,0.8346456692913385,1.0,"[[112,3,0],[18,53,0],[0,0,115]]"
signal_feature_only,extra_trees,50,7,file_id_4,4,150,301,0.9003322259136213,0.8902569013289888,0.8598130841121495,0.8152866242038217,0.9956709956709957,"[[92,22,1],[7,64,0],[0,0,115]]"
signal_feature_only,extra_trees,50,8,file_id_4,4,150,301,0.920265780730897,0.9060606060606061,0.9,0.8181818181818182,1.0,"[[108,7,0],[17,54,0],[0,0,115]]"
signal_feature_only,extra_trees,50,9,file_id_4,4,150,301,0.9169435215946844,0.9074820186826633,0.8858447488584474,0.8366013071895425,1.0,"[[97,18,0],[7,64,0],[0,0,115]]"
majority,majority,full,0,file_id_5,5,1424,313,0.3801916932907348,0.18364197530864199,0.0,0.0,0.5509259259259259,"[[0,0,123],[0,0,71],[0,0,119]]"
window_position_only,extra_trees,full,0,file_id_5,5,1424,313,0.2268370607028754,0.1232638888888889,0.0,0.3697916666666667,0.0,"[[0,123,0],[0,71,0],[0,119,0]]"
signal_feature_only,extra_trees,full,0,file_id_5,5,1424,313,0.9329073482428115,0.9160392899421693,0.9312977099236641,0.8292682926829268,0.9875518672199171,"[[122,1,0],[17,51,3],[0,0,119]]"
signal_feature_only,extra_trees,10,0,file_id_5,5,30,313,0.8785942492012779,0.8664533797351718,0.8508771929824561,0.7654320987654321,0.9830508474576272,"[[97,26,0],[8,62,1],[0,3,116]]"
signal_feature_only,extra_trees,10,1,file_id_5,5,30,313,0.8849840255591054,0.8740605544290875,0.8558558558558559,0.7831325301204819,0.9831932773109243,"[[95,28,0],[4,65,2],[0,2,117]]"
signal_feature_only,extra_trees,10,2,file_id_5,5,30,313,0.8338658146964856,0.8183551956388958,0.8284518828451883,0.6792452830188679,0.9473684210526315,"[[99,23,1],[17,54,0],[0,11,108]]"
signal_feature_only,extra_trees,10,3,file_id_5,5,30,313,0.8019169329073482,0.787050445018559,0.7264150943396226,0.651685393258427,0.9830508474576272,"[[77,46,0],[12,58,1],[0,3,116]]"
signal_feature_only,extra_trees,10,4,file_id_5,5,30,313,0.8242811501597445,0.7991074270019657,0.7829787234042553,0.6308724832214765,0.9834710743801653,"[[92,31,0],[20,47,4],[0,0,119]]"
signal_feature_only,extra_trees,10,5,file_id_5,5,30,313,0.8338658146964856,0.8150302742673854,0.8034934497816594,0.6708860759493671,0.9707112970711297,"[[92,31,0],[14,53,4],[0,3,116]]"
signal_feature_only,extra_trees,10,6,file_id_5,5,30,313,0.8594249201277955,0.8438953186427934,0.8198198198198198,0.7283950617283951,0.9834710743801653,"[[91,32,0],[8,59,4],[0,0,119]]"
signal_feature_only,extra_trees,10,7,file_id_5,5,30,313,0.865814696485623,0.851610300394917,0.8384279475982532,0.7375,0.9789029535864979,"[[96,27,0],[10,59,2],[0,3,116]]"
signal_feature_only,extra_trees,10,8,file_id_5,5,30,313,0.9009584664536742,0.8872724232205026,0.8991596638655462,0.7919463087248322,0.9707112970711297,"[[107,16,0],[8,59,4],[0,3,116]]"
signal_feature_only,extra_trees,10,9,file_id_5,5,30,313,0.8881789137380192,0.8715429663983777,0.8906882591093117,0.7659574468085106,0.957983193277311,"[[110,13,0],[12,54,5],[2,3,114]]"
signal_feature_only,extra_trees,25,0,file_id_5,5,75,313,0.8913738019169329,0.8700868620662049,0.8932806324110671,0.746268656716418,0.9707112970711297,"[[113,10,0],[17,50,4],[0,3,116]]"
signal_feature_only,extra_trees,25,1,file_id_5,5,75,313,0.8690095846645367,0.856451464945266,0.8430493273542601,0.7515151515151515,0.9747899159663865,"[[94,29,0],[6,62,3],[0,3,116]]"
