method,class,n,verifier_pass_rate,rms_mean,rms_ref_median,kurtosis_mean,kurtosis_ref_median,crest_mean,crest_ref_median,band_l1_mean,psd_w1_mean,psd_w1_p90,env_prominence_mean,nn_syn_real_mean,nn_syn_real_p05
rule_smoke_v5,healthy,38,1.0,0.0743395252839515,0.07337278872728348,2.763904383308009,2.7457573413848877,3.1919617530278006,3.1566358012155713,0.07680021553447834,29.35161723355884,44.177189666349,,0.11530438751766556,0.10606327205896378
rule_smoke_v5,IR,92,1.0,0.2986147112172583,0.2987423539161682,11.776007797407066,5.936953544616699,6.849790653859779,5.514186774803054,0.0376682805560377,226.938276761713,242.24652502261438,9.361254294477746,0.5288602184990178,0.5058870792388916
rule_smoke_v5,B,80,1.0,0.13882691971957684,0.13869181275367737,8.331126910448074,3.6600239276885986,6.357937635351269,4.140568338906324,0.052032101986759186,79.71979160139638,102.72102611238758,10.04653450231522,0.24528371188789605,0.23355877175927162
rule_smoke_v5,OR,99,1.0,0.3907277078339548,0.39072805643081665,10.316103723314074,7.427388668060303,5.867036403020236,5.4573824212598225,0.09606452781756182,208.87026820162487,222.06070266783175,10.3311037021378,0.6192474612081894,0.5901820719242096
llm_frozen_full_v1,healthy,603,1.0,0.07350013202448587,0.07337278872728348,2.591191847328325,2.7457573413848877,3.085205964989533,3.1566358012155713,0.010677360615252393,34.253255872577824,42.805010314801905,,0.14846892494269667,0.14479015469551088
llm_frozen_full_v1,IR,750,1.0,0.3119990813334783,0.2987423539161682,9.09334072303772,5.936953544616699,5.866868962946212,5.514186774803054,0.04059407526360741,231.53573823545253,244.06743435580614,11.53796903353849,0.5489648982683818,0.527819475531578
llm_frozen_full_v1,B,631,1.0,0.1428751694938838,0.13869181275367737,7.973468597641838,3.6600239276885986,5.730733275181975,4.140568338906324,0.052893990976254746,99.42888488652088,123.44452654662162,9.696733458217341,0.25085493508968415,0.24146217852830887
llm_frozen_full_v1,OR,750,1.0,0.3925809860229492,0.39072805643081665,11.39924452082316,7.427388668060303,5.757858383286174,5.4573824212598225,0.09619103002793532,223.09822874383528,238.7877790050268,12.724938725377458,0.6220738435586294,0.6027893394231796
