dataset,protocol,split,n_real,metric,comparison,n_pairs,raw_p,holm_q_registered_family,holm_pass,global_bh_q,global_bh_pass,decision_agrees
CWRU,within_plus_load0_to_1_2_3,lolo_load1,5,acc,llm>real_only,40,1.7840631619466765e-08,3.568126323893353e-08,True,4.533333333333333e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,5,macro_f1,llm>rule,40,1.8232212529951235e-06,1.8232212529951235e-06,True,2.3540325038671217e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,5,macro_f1,llm>noise_aug,40,1.267735569854267e-07,2.535471139708534e-07,True,2.4397929834931177e-07,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,5,macro_f1,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,10,acc,llm>rule,40,2.4130925093170996e-08,3.568126323893353e-08,True,5.1278215822988365e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,10,acc,llm>noise_aug,40,1.7840631619466765e-08,3.568126323893353e-08,True,4.533333333333333e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,10,acc,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,10,macro_f1,llm>rule,40,1.8826540326699615e-10,3.765308065339923e-10,True,7.681228453293442e-10,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,10,macro_f1,llm>noise_aug,40,3.268330713406108e-08,3.268330713406108e-08,True,6.637556057452653e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,10,macro_f1,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,25,acc,llm>rule,40,3.170898243895491e-07,6.341796487790982e-07,True,5.77556465852393e-07,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,25,acc,llm>noise_aug,40,0.00196814093952304,0.00196814093952304,True,0.0021131618508563165,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,25,acc,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,25,macro_f1,llm>rule,40,1.3571697121038587e-06,2.7143394242077173e-06,True,1.8457508084612476e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,25,macro_f1,llm>noise_aug,40,0.002010751435273023,0.002010751435273023,True,0.002136423399977587,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load1,25,macro_f1,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
