method,n_real,n_syn,seed,train_sample_count,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
random_open_loop,50,5,6,165,0.36964980544747084,0.33628776735019367,0.1320754716981132,0.4187725631768953,0.4580152671755725,"[[7,64,0],[27,58,34],[1,36,30]]"
real_only,50,5,7,150,0.2840466926070039,0.2726899308276761,0.1415929203539823,0.2845849802371542,0.3918918918918919,"[[8,60,3],[34,36,49],[0,38,29]]"
noise_aug,50,5,7,165,0.23346303501945526,0.24579546384999593,0.15942028985507245,0.17796610169491525,0.4,"[[11,57,3],[56,21,42],[0,39,28]]"
llm_closed_loop,50,5,7,165,0.2490272373540856,0.26377596408474013,0.11842105263157894,0.2578125,0.41509433962264153,"[[9,59,3],[72,33,14],[0,45,22]]"
rule_verified,50,5,7,165,0.30739299610894943,0.30184705961767877,0.17699115044247787,0.2594142259414226,0.4691358024691358,"[[10,60,1],[32,31,56],[0,29,38]]"
random_open_loop,50,5,7,165,0.36964980544747084,0.35103475701900905,0.18181818181818182,0.3779527559055118,0.49333333333333335,"[[10,57,4],[29,48,42],[0,30,37]]"
real_only,50,5,8,150,0.39299610894941633,0.3908900276354344,0.11023622047244094,0.38095238095238093,0.6814814814814815,"[[7,64,0],[49,48,22],[0,21,46]]"
noise_aug,50,5,8,165,0.39299610894941633,0.3736043161196356,0.14285714285714285,0.38735177865612647,0.5906040268456376,"[[8,62,1],[33,49,37],[0,23,44]]"
llm_closed_loop,50,5,8,165,0.3735408560311284,0.39164383415271686,0.24161073825503357,0.28054298642533937,0.6527777777777778,"[[18,53,0],[58,31,30],[2,18,47]]"
rule_verified,50,5,8,165,0.3463035019455253,0.3375440295204017,0.13445378151260504,0.301255230125523,0.5769230769230769,"[[8,62,1],[40,36,43],[0,22,45]]"
random_open_loop,50,5,8,165,0.4085603112840467,0.42958286432078824,0.14965986394557823,0.3333333333333333,0.8057553956834532,"[[11,60,0],[65,38,16],[0,11,56]]"
real_only,50,5,9,150,0.4280155642023346,0.4351143493219996,0.16296296296296298,0.4016393442622951,0.7407407407407407,"[[11,59,1],[53,49,17],[0,17,50]]"
noise_aug,50,5,9,165,0.33852140077821014,0.34680348215365503,0.2465753424657534,0.2048780487804878,0.588957055214724,"[[18,46,7],[57,21,41],[0,19,48]]"
llm_closed_loop,50,5,9,165,0.3463035019455253,0.3452765276553617,0.2459016393442623,0.2465753424657534,0.5433526011560693,"[[15,53,3],[36,27,56],[0,20,47]]"
rule_verified,50,5,9,165,0.43190661478599224,0.41185856314180835,0.1391304347826087,0.4552238805970149,0.6412213740458015,"[[8,63,0],[36,61,22],[0,25,42]]"
random_open_loop,50,5,9,165,0.39299610894941633,0.4017316017316017,0.2,0.2909090909090909,0.7142857142857143,"[[14,57,0],[55,32,32],[0,12,55]]"
