class_name,mean_f1,method,n_real,n_syn,std_f1
normal_machining,0.23003566411983384,llm_closed_loop,10,5,0.10426101125364262
lead_screw_anomaly,0.3422908725522426,llm_closed_loop,10,5,0.11193183586143897
base_imbalance,0.34257551952985027,llm_closed_loop,10,5,0.14608490973155702
normal_machining,0.1522081264655913,llm_closed_loop,25,5,0.045510062729987755
lead_screw_anomaly,0.27732583718705983,llm_closed_loop,25,5,0.06661583055794754
base_imbalance,0.3758247684302792,llm_closed_loop,25,5,0.11337905922337098
normal_machining,0.1687498686430831,llm_closed_loop,50,5,0.04444269322280757
lead_screw_anomaly,0.2979248238938711,llm_closed_loop,50,5,0.07218979678649148
base_imbalance,0.5433356569611822,llm_closed_loop,50,5,0.09167449612426433
normal_machining,0.20690274193932198,noise_aug,10,5,0.11915441262351732
lead_screw_anomaly,0.2989230971852474,noise_aug,10,5,0.12389889741823906
base_imbalance,0.3695737109847729,noise_aug,10,5,0.1863996044084676
normal_machining,0.1876963732763341,noise_aug,25,5,0.06890002926219639
lead_screw_anomaly,0.2654312621296183,noise_aug,25,5,0.06018541237840715
base_imbalance,0.3741556849487487,noise_aug,25,5,0.15845671898455316
normal_machining,0.15475369385988452,noise_aug,50,5,0.04426428969783055
lead_screw_anomaly,0.33634243446967926,noise_aug,50,5,0.11953336497439843
base_imbalance,0.5370529184999663,noise_aug,50,5,0.09174751497187235
normal_machining,0.2342763812721084,random_open_loop,10,5,0.11975000085072894
lead_screw_anomaly,0.23478988601507322,random_open_loop,10,5,0.0832139458913188
base_imbalance,0.46804870384202396,random_open_loop,10,5,0.14693211398671735
normal_machining,0.16713293280791316,random_open_loop,25,5,0.0663787338184488
lead_screw_anomaly,0.24262983790384568,random_open_loop,25,5,0.09276602329601927
base_imbalance,0.46746400971529656,random_open_loop,25,5,0.1015715418913852
normal_machining,0.15867614709569589,random_open_loop,50,5,0.037250096699336134
lead_screw_anomaly,0.35244778835677304,random_open_loop,50,5,0.049657635264064574
base_imbalance,0.6032612316195695,random_open_loop,50,5,0.11034432302297026
normal_machining,0.2414302809913252,real_only,10,5,0.14502964344423772
lead_screw_anomaly,0.3238752290930439,real_only,10,5,0.1156283268082674
base_imbalance,0.40384524787074605,real_only,10,5,0.12699757967645234
normal_machining,0.18182241476468272,real_only,25,5,0.04710215830901526
lead_screw_anomaly,0.27422764049847437,real_only,25,5,0.11253178405839527
base_imbalance,0.3997399099765785,real_only,25,5,0.10991626234268508
normal_machining,0.15031840275919178,real_only,50,5,0.020186367358900156
lead_screw_anomaly,0.36383549697654705,real_only,50,5,0.055055938743474676
base_imbalance,0.579581114955949,real_only,50,5,0.10630133139769024
normal_machining,0.2742745970517425,rule_verified,10,5,0.11275663521369077
lead_screw_anomaly,0.17581669224190494,rule_verified,10,5,0.11513290868030432
base_imbalance,0.3856865496092572,rule_verified,10,5,0.16931157968293092
normal_machining,0.16556823682709482,rule_verified,25,5,0.07571837414387612
lead_screw_anomaly,0.27407812616090316,rule_verified,25,5,0.07976508075676733
base_imbalance,0.4282359325636298,rule_verified,25,5,0.1410132757582614
normal_machining,0.16638930809274763,rule_verified,50,5,0.03433701172877492
lead_screw_anomaly,0.3121819909773786,rule_verified,50,5,0.06929699683406493
base_imbalance,0.5514323380749256,rule_verified,50,5,0.09680753727951238
