request_index,slot,target_class,round_id,attempt,model,prompt_hash,response_hash,http_status,parse_status,timestamp,accepted,rejection_reasons
12,1,lead_screw_anomaly,1,12,mimo-v2.5,9a66fb9a14862ec37edb5330cc27fedd41af479c21b156c176a14106cca42444,98a7fdbb920d5540e0857e4e30e78684b41b635f02c26e57c870a814d3840503,200,error:JSONDecodeError,2026-07-10T06:59:05+00:00,False,api_or_json
13,1,lead_screw_anomaly,2,13,mimo-v2.5,4a962dda284eb176c66e056021106c017d8037331f48335f944da967660c9aad,c21fa9900119765a97dc49cdf4208298e4ba3029be0009a64698d7b4a6bdae7a,200,error:JSONDecodeError,2026-07-10T06:59:13+00:00,False,api_or_json
14,1,lead_screw_anomaly,3,14,mimo-v2.5,3b7547e258e0e471bac02ce04fad0d6e361d177885c175b8bdef932e2533116d,e08a3f9cff984117d34365cb853c4ada5956bbcdd188bfddf4b72dcc635d40b3,200,json_ok,2026-07-10T06:59:21+00:00,False,class_identity
15,1,normal_machining,0,15,mimo-v2.5,3ce7fdbb7ad248b85194c1719f17c95ae1cea7958ab9b12a31d1259d017259fa,7b8d9424258dbd21fe535ff977111cf5cb6a10224ed7f0139c61a106fba3d7b5,200,json_ok,2026-07-10T06:59:28+00:00,False,recipe_schema
16,1,normal_machining,1,16,mimo-v2.5,f3dd0e26060792da32615e6d5ddd00e121d907c19e10afe9e05c6958b8f87101,97757705d82a22c7f195d25c07140fc092d953ea38dd0c8bab9b13e0492a9cab,200,error:JSONDecodeError,2026-07-10T06:59:35+00:00,False,api_or_json
17,1,normal_machining,2,17,mimo-v2.5,c0bd4d5d9d396245c5b480297f6746c9d6ec1331d1e5360d059593719070cd92,2ec3307237608c67f9e8f65bd8fe17582c71c7685aeb6794af2f7d056dce25fc,200,error:JSONDecodeError,2026-07-10T06:59:42+00:00,False,api_or_json
18,1,normal_machining,3,18,mimo-v2.5,e1effe8ac190bf5c655d455d863a938dabf8cc63e1d0ee166001648b3e6847a3,ab0d5e0eb46f94538fbcdd54939f6078152c24ac063e5dc7717d0f1c156c7058,200,error:JSONDecodeError,2026-07-10T06:59:48+00:00,False,api_or_json
19,2,lead_screw_anomaly,0,19,mimo-v2.5,ff33288ae607929a4fa4be34a48541e73b79e791602d41519b5160ac99515552,6779f42bcb76131fc20018beb1e46364002ab3e1df6bdb62e3e151765077761f,200,error:JSONDecodeError,2026-07-10T06:59:54+00:00,False,api_or_json
20,2,lead_screw_anomaly,1,20,mimo-v2.5,9a66fb9a14862ec37edb5330cc27fedd41af479c21b156c176a14106cca42444,f061024d0f254805a5f7ec757632a554d59a440344118e7a947582c06e804f73,200,json_ok,2026-07-10T07:00:04+00:00,True,
21,2,normal_machining,0,21,mimo-v2.5,3ce7fdbb7ad248b85194c1719f17c95ae1cea7958ab9b12a31d1259d017259fa,af0e607e9cffae44ee2606d8a071bf31325ad2e2fdffac2c9f239e7109f56a57,200,error:JSONDecodeError,2026-07-10T07:00:11+00:00,False,api_or_json
22,2,normal_machining,1,22,mimo-v2.5,b78a31b8144a4cdc0133c4e58f8bbe7a17aa3fd6deaf22dce38b8acd1d3f0931,58bbdb736eb3940a5b9efa059ba7ccf2d076648dbe54898a74cf15ea184e7f90,200,json_ok,2026-07-10T07:00:19+00:00,False,recipe_schema
23,2,normal_machining,2,23,mimo-v2.5,eb47446d84ea3efb0d334dad2da8652d9aebd34e9f0b8de84fa37ce45df6eeaa,51f0891ad318a713c81e7446fc676629166c22ef2f20d08f7e24fab6279278bd,200,error:JSONDecodeError,2026-07-10T07:00:29+00:00,False,api_or_json
24,2,normal_machining,3,24,mimo-v2.5,e1effe8ac190bf5c655d455d863a938dabf8cc63e1d0ee166001648b3e6847a3,99bf2a981716df8a3d5a9da87c8110f47e3e2f04275e22a15ef2f0a8829bbccf,200,error:JSONDecodeError,2026-07-10T07:00:35+00:00,False,api_or_json
25,3,normal_machining,0,25,mimo-v2.5,3ce7fdbb7ad248b85194c1719f17c95ae1cea7958ab9b12a31d1259d017259fa,215a2a4abe31c529b51ee6c6eb605291cb8efdeb939563c07fe9a0dabcc80682,200,error:JSONDecodeError,2026-07-10T07:00:41+00:00,False,api_or_json
