mean_acc,mean_f1_base_imbalance,mean_f1_lead_screw_anomaly,mean_f1_normal_machining,mean_macro_f1,method,n_real,n_syn,seeds,std_acc,std_f1_base_imbalance,std_f1_lead_screw_anomaly,std_f1_normal_machining,std_macro_f1
0.3249027237354086,0.34257551952985027,0.3422908725522426,0.23003566411983384,0.30496735206730896,llm_closed_loop,10,5,10,0.05830087184346964,0.14608490973155702,0.11193183586143897,0.10426101125364262,0.056498049649172516
0.27431906614785995,0.3758247684302792,0.27732583718705983,0.1522081264655913,0.26845291069431004,llm_closed_loop,25,5,10,0.0432997768680249,0.11337905922337098,0.06661583055794754,0.045510062729987755,0.04816895729973232
0.3311284046692607,0.5433356569611822,0.2979248238938711,0.1687498686430831,0.33667011649937884,llm_closed_loop,50,5,10,0.038407908381006356,0.09167449612426433,0.07218979678649148,0.04444269322280757,0.03656854965916741
0.30778210116731514,0.3695737109847729,0.2989230971852474,0.20690274193932198,0.29179985003644743,noise_aug,10,5,10,0.09151922289145936,0.1863996044084676,0.12389889741823906,0.11915441262351732,0.0902027399765301
0.27937743190661485,0.3741556849487487,0.2654312621296183,0.1876963732763341,0.27576110678490035,noise_aug,25,5,10,0.0573275583774268,0.15845671898455316,0.06018541237840715,0.06890002926219639,0.06489556341313657
0.3478599221789883,0.5370529184999663,0.33634243446967926,0.15475369385988452,0.3427163489431767,noise_aug,50,5,10,0.07713052951768044,0.09174751497187235,0.11953336497439843,0.04426428969783055,0.062231000668811084
0.3175097276264591,0.46804870384202396,0.23478988601507322,0.2342763812721084,0.3123716570430686,random_open_loop,10,5,10,0.0656295658305749,0.14693211398671735,0.0832139458913188,0.11975000085072894,0.07216681537784148
0.290272373540856,0.46746400971529656,0.24262983790384568,0.16713293280791316,0.2924089268090184,random_open_loop,25,5,10,0.06829258738418531,0.1015715418913852,0.09276602329601927,0.0663787338184488,0.06650213390128276
0.3743190661478599,0.6032612316195695,0.35244778835677304,0.15867614709569589,0.3714617223573461,random_open_loop,50,5,10,0.031009283532593728,0.11034432302297026,0.049657635264064574,0.037250096699336134,0.03516953698159605
0.3350194552529183,0.40384524787074605,0.3238752290930439,0.2414302809913252,0.32305025265170506,real_only,10,5,10,0.06677936645345423,0.12699757967645234,0.1156283268082674,0.14502964344423772,0.06332272034929198
0.2883268482490272,0.3997399099765785,0.27422764049847437,0.18182241476468272,0.2852633217465786,real_only,25,5,10,0.07338067041110023,0.10991626234268508,0.11253178405839527,0.04710215830901526,0.06228049190616771
0.3599221789883268,0.579581114955949,0.36383549697654705,0.15031840275919178,0.3645783382305627,real_only,50,5,10,0.04283102393244712,0.10630133139769024,0.055055938743474676,0.020186367358900156,0.04429566265090216
0.2785992217898833,0.3856865496092572,0.17581669224190494,0.2742745970517425,0.27859261296763493,rule_verified,10,5,10,0.06341338143957467,0.16931157968293092,0.11513290868030432,0.11275663521369077,0.06631808550357388
0.29143968871595327,0.4282359325636298,0.27407812616090316,0.16556823682709482,0.2892940985172093,rule_verified,25,5,10,0.05833548717787964,0.1410132757582614,0.07976508075676733,0.07571837414387612,0.06090132450378659
0.3400778210116731,0.5514323380749256,0.3121819909773786,0.16638930809274763,0.3433345457150173,rule_verified,50,5,10,0.03552974042700687,0.09680753727951238,0.06929699683406493,0.03433701172877492,0.03131656561629458
