dataset,protocol,pool,class,n_pool,n_reference,metric,value
cwru,CWRU within-load0,noise_aug,B,20,163,psd_w1_mean,225.5563898
cwru,CWRU within-load0,noise_aug,B,20,163,band_energy_relative_error_mean,0.6486714482
cwru,CWRU within-load0,noise_aug,B,20,163,nn_diversity,87234.40104
cwru,CWRU within-load0,noise_aug,B,20,163,real_nn_diversity,3.757555652
cwru,CWRU within-load0,noise_aug,B,20,163,envelope_frequency_alignment_error_hz,4.96696
cwru,CWRU within-load0,noise_aug,OR,20,287,rms_w1,0.04757148472
cwru,CWRU within-load0,noise_aug,OR,20,287,kurtosis_w1,1.516463301
cwru,CWRU within-load0,noise_aug,OR,20,287,psd_w1_mean,317.9183519
cwru,CWRU within-load0,noise_aug,OR,20,287,band_energy_relative_error_mean,0.347514117
cwru,CWRU within-load0,noise_aug,OR,20,287,nn_diversity,856.1846247
cwru,CWRU within-load0,noise_aug,OR,20,287,real_nn_diversity,1.709809163
cwru,CWRU within-load0,noise_aug,OR,20,287,envelope_frequency_alignment_error_hz,3.554850417
