dataset,protocol,pool,class,n_pool,n_reference,metric,value
pu,PU Phase-A v2,noise_aug,OR,20,1202,rms_w1,0.01024204615
pu,PU Phase-A v2,noise_aug,OR,20,1202,kurtosis_w1,0.6919988934
pu,PU Phase-A v2,noise_aug,OR,20,1202,psd_w1_mean,505.2244438
pu,PU Phase-A v2,noise_aug,OR,20,1202,band_energy_relative_error_mean,0.06198619222
pu,PU Phase-A v2,noise_aug,OR,20,1202,nn_diversity,5.500029533
pu,PU Phase-A v2,noise_aug,OR,20,1202,real_nn_diversity,2.661182244
pu,PU Phase-A v2,noise_aug,OR,20,1202,envelope_frequency_alignment_error_hz,2.964917707
pu,PU Phase-A v2,noise_aug,IR,20,1444,rms_w1,0.003885711128
pu,PU Phase-A v2,noise_aug,IR,20,1444,kurtosis_w1,0.3664690341
pu,PU Phase-A v2,noise_aug,IR,20,1444,psd_w1_mean,224.006985
pu,PU Phase-A v2,noise_aug,IR,20,1444,band_energy_relative_error_mean,0.05391221368
pu,PU Phase-A v2,noise_aug,IR,20,1444,nn_diversity,92.09431756
pu,PU Phase-A v2,noise_aug,IR,20,1444,real_nn_diversity,8.228792198
pu,PU Phase-A v2,noise_aug,IR,20,1444,envelope_frequency_alignment_error_hz,2.622243438
